iter	Passed	Remaining
0	228	68311
1	303	45257
2	381	37788
3	468	34642
4	548	32347
5	661	32390
6	748	31327
7	824	30091
8	903	29205
9	984	28544
10	1121	29453
11	1224	29381
12	1326	29281
13	1424	29097
14	1517	28836
15	1605	28493
16	1699	28291
17	1794	28111
18	1900	28108
19	1989	27856
20	2070	27511
21	2179	27539
22	2265	27286
23	2459	28280
24	2630	28935
25	2743	28914
26	2866	28984
27	2989	29045
28	3120	29157
29	3261	29355
30	3421	29689
31	3543	29677
32	3659	29609
33	3778	29563
34	3942	29851
35	4074	29881
36	4192	29799
37	4313	29738
38	4440	29717
39	4557	29623
40	4687	29613
41	4815	29582
42	4937	29507
43	5060	29444
44	5194	29433
45	5314	29345
46	5438	29273
47	5557	29175
48	5679	29090
49	5804	29023
50	5972	29160
51	6275	29929
52	6417	29908
53	6540	29796
54	6658	29661
55	6787	29574
56	6910	29462
57	7019	29288
58	7150	29209
59	7266	29065
60	7389	28953
61	7523	28881
62	7655	28799
63	7829	28870
64	7985	28872
65	8121	28794
66	8256	28711
67	8372	28566
68	8499	28453
69	8627	28348
70	8761	28260
71	8900	28183
72	9034	28094
73	9177	28028
74	9307	27923
75	9437	27816
76	9554	27671
77	9669	27520
78	9795	27401
79	9995	27487
80	10123	27369
81	10262	27284
82	10388	27160
83	10568	27176
84	10706	27082
85	10841	26978
86	10957	26827
87	11081	26695
88	11200	26554
89	11327	26431
90	11443	26281
91	11580	26181
92	11744	26140
93	11867	26007
94	11994	25882
95	12110	25734
96	12244	25624
97	12382	25523
98	12553	25487
99	12729	25459
100	12868	25355
101	12985	25206
102	13100	25055
103	13216	24908
104	13342	24778
105	13464	24642
106	13586	24506
107	13709	24371
108	13840	24253
109	13956	24107
110	14093	23997
111	14205	23844
112	14334	23721
113	14482	23629
114	14601	23488
115	14719	23348
116	14846	23222
117	15018	23164
118	15142	23032
119	15277	22915
120	15404	22788
121	15534	22665
122	15649	22519
123	15767	22380
124	15873	22223
125	15997	22091
126	16112	21947
127	16224	21801
128	16342	21663
129	16474	21543
130	16604	21420
131	16725	21286
132	16844	21150
133	16983	21039
134	17164	20978
135	17286	20845
136	17400	20703
137	17540	20590
138	17709	20512
139	17839	20387
140	17967	20261
141	18079	20116
142	18200	19982
143	18327	19854
144	18445	19718
145	18561	19578
146	18683	19446
147	18803	19312
148	18922	19176
149	19052	19052
150	19261	19006
151	19507	18994
152	19621	18851
153	19714	18690
154	19838	18558
155	19972	18435
156	20061	18272
157	20160	18118
158	20282	17986
159	20384	17836
160	20477	17678
161	20567	17520
162	20665	17369
163	20752	17209
164	20838	17049
165	20925	16892
166	20998	16723
167	21077	16560
168	21161	16402
169	21252	16251
170	21329	16090
171	21411	15934
172	21499	15782
173	21581	15627
174	21662	15473
175	21738	15315
176	21818	15161
177	21898	15009
178	21981	14859
179	22062	14708
180	22140	14556
181	22235	14416
182	22351	14290
183	22438	14145
184	22515	13996
185	22599	13851
186	22678	13704
187	22766	13563
188	22940	13473
189	23041	13339
190	23137	13204
191	23355	13137
192	23490	13023
193	23581	12884
194	23667	12743
195	23760	12607
196	23865	12478
197	23958	12342
198	24049	12205
199	24138	12069
200	24240	11939
201	24327	11802
202	24419	11668
203	24502	11530
204	24605	11402
205	24698	11270
206	24873	11175
207	25072	11089
208	25190	10967
209	25312	10848
210	25437	10729
211	25564	10611
212	25694	10494
213	25910	10412
214	26072	10307
215	26262	10213
216	26365	10084
217	26516	9974
218	26658	9860
219	26778	9737
220	26912	9620
221	26999	9486
222	27097	9356
223	27199	9228
224	27292	9097
225	27401	8972
226	27512	8847
227	27599	8715
228	27705	8589
229	27792	8458
230	27894	8332
231	28027	8214
232	28117	8085
233	28199	7953
234	28280	7822
235	28359	7690
236	28478	7570
237	28572	7443
238	28660	7315
239	28735	7183
240	28816	7054
241	28901	6926
242	28980	6797
243	29063	6670
244	29144	6542
245	29233	6417
246	29311	6289
247	29387	6161
248	29470	6036
249	29548	5909
250	29628	5784
251	29701	5657
252	29774	5531
253	29848	5405
254	29935	5282
255	30016	5159
256	30097	5035
257	30170	4911
258	30248	4788
259	30332	4666
260	30403	4542
261	30483	4421
262	30557	4298
263	30634	4177
264	30715	4056
265	30793	3935
266	30872	3815
267	30944	3694
268	31021	3574
269	31094	3454
270	31174	3336
271	31249	3216
272	31333	3098
273	31414	2980
274	31489	2862
275	31572	2745
276	31652	2628
277	31746	2512
278	31834	2396
279	31915	2279
280	32002	2163
281	32090	2048
282	32170	1932
283	32244	1816
284	32324	1701
285	32412	1586
286	32494	1471
287	32572	1357
288	32647	1242
289	32731	1128
290	32803	1014
291	32876	900
292	32959	787
293	33041	674
294	33116	561
295	33193	448
296	33277	336
297	33351	223
298	33434	111
299	33510	0
